"Code","Country","Population"
"ABW","Aruba",105845
"AFG","Afghanistan",37172386
"AGO","Angola",30809762
"AIA","Anguilla",NA
"ALA","Åland Islands",NA
"ALB","Albania",2866376
"AND","Andorra",77006
"ARE","United Arab Emirates",9630959
"ARG","Argentina",44494502
"ARM","Armenia",2951776
"ASM","American Samoa",55465
"ATA","Antarctica",NA
"ATF","French Southern Territories",NA
"ATG","Antigua and Barbuda",96286
"AUS","Australia",24982688
"AUT","Austria",8840521
"AZE","Azerbaijan",9939800
"BDI","Burundi",11175378
"BEL","Belgium",11433256
"BEN","Benin",11485048
"BES","Bonaire, Sint Eustatius and Saba",NA
"BFA","Burkina Faso",19751535
"BGD","Bangladesh",161356039
"BGR","Bulgaria",7025037
"BHR","Bahrain",1569439
"BHS","Bahamas",385640
"BIH","Bosnia and Herzegovina",3323929
"BLM","Saint Barthélemy",NA
"BLR","Belarus",9483499
"BLZ","Belize",383071
"BMU","Bermuda",63973
"BOL","Bolivia (Plurinational State of)",11353142
"BRA","Brazil",209469333
"BRB","Barbados",286641
"BRN","Brunei Darussalam",428962
"BTN","Bhutan",754394
"BVT","Bouvet Island",NA
"BWA","Botswana",2254126
"CAF","Central African Republic",4666377
"CAN","Canada",37057765
"CCK","Cocos (Keeling) Islands",NA
"CHE","Switzerland",8513227
"CHL","Chile",18729160
"CHN","China",1392730000
"CIV","Côte d'Ivoire",25069229
"CMR","Cameroon",25216237
"COD","Congo, Democratic Republic of the",84068091
"COG","Congo",5244363
"COK","Cook Islands",NA
"COL","Colombia",49648685
"COM","Comoros",832322
"CPV","Cabo Verde",543767
"CRI","Costa Rica",4999441
"CUB","Cuba",11338138
"CUW","Curaçao",159800
"CXR","Christmas Island",NA
"CYM","Cayman Islands",64174
"CYP","Cyprus",1189265
"CZE","Czech Republic",10629928
"DEU","Germany",82905782
"DJI","Djibouti",958920
"DMA","Dominica",71625
"DNK","Denmark",5793636
"DOM","Dominican Republic",10627165
"DZA","Algeria",42228429
"ECU","Ecuador",17084357
"EGY","Egypt",98423595
"ERI","Eritrea",NA
"ESH","Western Sahara",NA
"ESP","Spain",46796540
"EST","Estonia",1321977
"ETH","Ethiopia",109224559
"FIN","Finland",5515525
"FJI","Fiji",883483
"FLK","Falkland Islands (Malvinas)",NA
"FRA","France",66977107
"FRO","Faroe Islands",48497
"FSM","Micronesia (Federated States of)",112640
"GAB","Gabon",2119275
"GBR","United Kingdom",66460344
"GEO","Georgia",3726549
"GGY","Guernsey",NA
"GHA","Ghana",29767108
"GIB","Gibraltar",33718
"GIN","Guinea",12414318
"GLP","Guadeloupe",NA
"GMB","Gambia",2280102
"GNB","Guinea-Bissau",1874309
"GNQ","Equatorial Guinea",1308974
"GRC","Greece",10731726
"GRD","Grenada",111454
"GRL","Greenland",56025
"GTM","Guatemala",17247807
"GUF","French Guiana",NA
"GUM","Guam",165768
"GUY","Guyana",779004
"HKG","Hong Kong",7451000
"HMD","Heard Island and McDonald Islands",NA
"HND","Honduras",9587522
"HRV","Croatia",4087843
"HTI","Haiti",11123176
"HUN","Hungary",9775564
"IDN","Indonesia",267663435
"IMN","Isle of Man",84077
"IND","India",1352617328
"IOT","British Indian Ocean Territory",NA
"IRL","Ireland",4867309
"IRN","Iran (Islamic Republic of)",81800269
"IRQ","Iraq",38433600
"ISL","Iceland",352721
"ISR","Israel",8882800
"ITA","Italy",60421760
"JAM","Jamaica",2934855
"JEY","Jersey",NA
"JOR","Jordan",9956011
"JPN","Japan",126529100
"KAZ","Kazakhstan",18272430
"KEN","Kenya",51393010
"KGZ","Kyrgyzstan",6322800
"KHM","Cambodia",16249798
"KIR","Kiribati",115847
"KNA","Saint Kitts and Nevis",52441
"KOR","South Korea",51606633
"KWT","Kuwait",4137309
"LAO","Lao People's Democratic Republic",7061507
"LBN","Lebanon",6848925
"LBR","Liberia",4818977
"LBY","Libya",6678567
"LCA","Saint Lucia",181889
"LIE","Liechtenstein",37910
"LKA","Sri Lanka",21670000
"LSO","Lesotho",2108132
"LTU","Lithuania",2801543
"LUX","Luxembourg",607950
"LVA","Latvia",1927174
"MAC","Macao",631636
"MAF","Saint Martin (French part)",37264
"MAR","Morocco",36029138
"MCO","Monaco",38682
"MDA","Moldova, Republic of",2706049
"MDG","Madagascar",26262368
"MDV","Maldives",515696
"MEX","Mexico",126190788
"MHL","Marshall Islands",58413
"MKD","North Macedonia",2082958
"MLI","Mali",19077690
"MLT","Malta",484630
"MMR","Myanmar",53708395
"MNE","Montenegro",622227
