CountryName,CountryCode,Date,S1_School closing,S1_IsGeneral,S2_Workplace closing,S2_IsGeneral,S3_Cancel public events,S3_IsGeneral,S4_Close public transport,S4_IsGeneral,S5_Public information campaigns,S5_IsGeneral,S6_Restrictions on internal movement,S6_IsGeneral,S7_International travel controls,S8_Fiscal measures,S9_Monetary measures,S10_Emergency investment in health care,S11_Investment in Vaccines,S12_Testing framework,S13_Contact tracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,date_processed,country
Afghanistan,AFG,20200101,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-01,Afghanistan
Afghanistan,AFG,20200102,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-02,Afghanistan
Afghanistan,AFG,20200103,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-03,Afghanistan
Afghanistan,AFG,20200104,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-04,Afghanistan
Afghanistan,AFG,20200105,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-05,Afghanistan
Afghanistan,AFG,20200106,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-06,Afghanistan
Afghanistan,AFG,20200107,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-07,Afghanistan
Afghanistan,AFG,20200108,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-08,Afghanistan
Afghanistan,AFG,20200109,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-09,Afghanistan
Afghanistan,AFG,20200110,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-10,Afghanistan
Afghanistan,AFG,20200111,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-11,Afghanistan
Afghanistan,AFG,20200112,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-12,Afghanistan
Afghanistan,AFG,20200113,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-13,Afghanistan
Afghanistan,AFG,20200114,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-14,Afghanistan
Afghanistan,AFG,20200115,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-15,Afghanistan
Afghanistan,AFG,20200116,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-16,Afghanistan
Afghanistan,AFG,20200117,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-17,Afghanistan
Afghanistan,AFG,20200118,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-18,Afghanistan
Afghanistan,AFG,20200119,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-19,Afghanistan
Afghanistan,AFG,20200120,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-20,Afghanistan
Afghanistan,AFG,20200121,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-21,Afghanistan
Afghanistan,AFG,20200122,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-22,Afghanistan
Afghanistan,AFG,20200123,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-23,Afghanistan
Afghanistan,AFG,20200124,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-24,Afghanistan
Afghanistan,AFG,20200125,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-25,Afghanistan
Afghanistan,AFG,20200126,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-26,Afghanistan
Afghanistan,AFG,20200127,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-27,Afghanistan
Afghanistan,AFG,20200128,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-28,Afghanistan
Afghanistan,AFG,20200129,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-29,Afghanistan
Afghanistan,AFG,20200130,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2020-01-30,Afghanistan
